price_for_two,delivery_time_min,distance_km,food_prep_time_min,restaurant_age_years,avg_monthly_orders,discount_percent,delivery_fee,late_delivery_rate,packaging_rating,hygiene_rating,customer_support_rating,cuisine_count,city_tier,restaurant_type,veg_option,online_order,table_booking,food_rating
466.0,27.8,2.92,23.8,1.1,1764.0,13.2,14.9,0.102,3,3,4,1,1,Casual Dining,No,Yes,No,5
707.0,72.6,6.23,30.4,9.5,1766.0,8.0,25.6,0.163,4,4,5,4,2,Quick Bites,Yes,Yes,No,5
862.0,65.2,2.98,49.5,0.9,776.0,14.3,40.8,0.332,4,3,3,2,1,Casual Dining,Yes,Yes,Yes,3
246.0,38.6,5.87,21.3,11.5,505.0,1.5,15.0,0.396,2,2,4,1,1,Casual Dining,No,Yes,No,3
996.0,49.4,4.42,26.1,9.8,823.0,11.2,53.1,0.136,3,3,4,3,1,Cafe,Yes,Yes,Yes,4
895.0,18.1,0.82,32.1,2.6,1248.0,6.8,45.3,0.055,5,4,4,2,2,Fine Dining,No,Yes,No,5
335.0,47.8,1.15,25.2,10.0,1726.0,30.8,0.0,0.471,3,3,3,2,2,Casual Dining,No,Yes,No,3
1639.0,48.3,1.35,22.4,11.9,3307.0,42.0,19.1,0.24,3,4,4,1,1,Cafe,No,Yes,No,4
556.0,49.9,0.83,12.5,12.3,714.0,25.9,29.5,0.045,3,3,5,3,2,Casual Dining,Yes,Yes,No,5
643.0,28.6,7.2,27.3,0.2,3095.0,41.9,67.5,0.27,4,3,3,1,1,Fine Dining,No,No,No,5
1159.0,13.4,1.28,14.7,0.1,3601.0,28.1,45.9,0.362,4,3,3,4,1,Casual Dining,Yes,Yes,Yes,5
361.0,27.8,3.59,10.0,16.0,1287.0,23.8,11.5,0.085,4,2,3,3,1,Fine Dining,No,Yes,Yes,5
284.0,31.1,2.05,37.5,4.6,1088.0,20.3,34.2,0.156,4,5,5,2,1,Quick Bites,Yes,Yes,Yes,5
419.0,38.8,9.22,32.5,14.9,4208.0,44.1,51.6,0.126,3,2,3,2,2,Cloud Kitchen,Yes,Yes,Yes,4
539.0,29.0,3.08,18.4,1.7,899.0,18.2,67.3,0.295,5,3,3,4,1,Cafe,No,Yes,No,5
601.0,42.2,5.09,31.4,4.4,5100.0,5.1,7.7,0.279,4,3,3,2,1,Casual Dining,No,Yes,No,4
703.0,42.6,0.34,23.9,10.5,590.0,22.8,23.5,0.15,4,5,3,3,3,Casual Dining,Yes,Yes,Yes,5
1155.0,37.6,4.2,31.3,10.1,1211.0,22.7,69.4,0.03,2,5,2,1,1,Cafe,Yes,No,Yes,3
335.0,10.0,5.92,26.0,17.4,553.0,36.9,41.2,0.09,4,5,3,4,1,Quick Bites,Yes,Yes,Yes,5
269.0,49.8,5.67,24.7,4.3,968.0,15.5,13.3,0.249,3,2,2,3,2,Cafe,Yes,Yes,No,4
578.0,25.6,5.42,23.0,1.1,4108.0,11.7,47.0,0.265,3,4,3,1,3,Fine Dining,No,Yes,Yes,5
487.0,14.4,6.02,34.3,18.3,1279.0,20.4,48.8,0.223,5,4,3,3,1,Casual Dining,No,No,Yes,5
476.0,40.0,0.55,33.3,1.1,1163.0,29.9,34.4,0.16,3,4,4,1,2,Casual Dining,Yes,Yes,No,4
249.0,19.4,5.26,28.6,5.3,614.0,20.8,29.5,0.15,3,3,3,4,2,Quick Bites,Yes,Yes,Yes,4
691.0,39.7,0.3,26.4,0.3,4455.0,5.6,49.8,0.104,2,3,1,2,1,Quick Bites,No,No,Yes,3
685.0,38.4,0.65,20.9,27.5,891.0,12.0,47.1,0.246,3,4,5,4,2,Quick Bites,Yes,Yes,Yes,5
428.0,15.2,11.92,23.1,0.4,761.0,19.9,48.0,0.312,3,4,2,2,3,Quick Bites,Yes,Yes,No,5
1920.0,24.9,4.34,40.2,12.7,3648.0,14.1,26.1,0.256,3,5,2,1,1,Quick Bites,No,No,No,2
273.0,10.0,2.36,29.8,5.2,1439.0,5.8,36.6,0.039,3,3,2,2,3,Quick Bites,Yes,Yes,Yes,4
822.0,44.6,6.3,26.0,1.5,1046.0,23.5,25.0,0.082,4,3,3,3,2,Cloud Kitchen,No,No,No,4
369.0,42.1,2.15,10.9,7.7,1093.0,15.1,59.5,0.306,3,3,4,3,3,Fine Dining,No,Yes,Yes,4
321.0,22.8,0.62,29.5,17.0,893.0,5.3,22.4,0.519,3,4,4,2,2,Casual Dining,No,Yes,No,5
275.0,32.9,2.41,26.3,3.3,3253.0,9.5,32.5,0.083,3,3,4,1,2,Quick Bites,Yes,Yes,Yes,4
826.0,50.3,6.21,48.4,3.3,3051.0,25.5,35.0,0.495,3,5,2,1,1,Casual Dining,No,Yes,No,3
364.0,22.8,0.3,27.6,0.4,1832.0,32.4,62.4,0.074,3,3,3,2,1,Cafe,Yes,Yes,No,4
387.0,15.1,11.05,33.3,2.9,875.0,13.3,60.2,0.279,4,2,3,4,2,Cafe,Yes,Yes,Yes,4
403.0,52.7,1.43,17.7,0.7,587.0,11.2,84.0,0.207,3,1,3,1,2,Cafe,Yes,No,Yes,3
611.0,19.1,5.4,40.2,1.6,1986.0,17.9,39.9,0.008,5,3,3,4,1,Casual Dining,Yes,No,No,4
889.0,40.2,1.66,10.0,7.0,787.0,19.6,66.4,0.086,2,5,3,4,2,Casual Dining,No,No,No,5
590.0,15.6,1.96,11.7,8.7,1111.0,13.1,53.0,0.146,4,2,2,4,1,Fine Dining,Yes,Yes,No,5
939.0,50.0,6.44,23.0,1.1,1242.0,4.4,46.6,0.131,4,1,4,3,1,Quick Bites,Yes,No,No,4
988.0,37.2,6.26,29.1,0.7,555.0,11.6,53.6,0.071,4,4,1,2,2,Cafe,Yes,Yes,No,5
406.0,21.5,3.47,11.2,1.5,1705.0,13.3,33.4,0.473,5,4,2,1,2,Casual Dining,Yes,Yes,Yes,5
594.0,43.1,6.47,26.7,1.5,2180.0,29.5,87.5,0.347,5,4,2,1,3,Cafe,Yes,No,Yes,4
790.0,38.0,2.72,30.1,4.6,1613.0,20.1,57.3,0.295,5,3,5,4,2,Quick Bites,Yes,No,Yes,4
736.0,24.3,0.78,22.9,6.7,3047.0,4.6,67.5,0.081,4,4,4,4,3,Quick Bites,Yes,Yes,No,5
540.0,36.9,2.42,10.0,0.6,1480.0,24.4,33.2,0.092,3,5,5,1,1,Casual Dining,Yes,Yes,Yes,5
1119.0,36.3,3.04,33.0,10.6,531.0,39.6,31.3,0.248,4,3,4,1,3,Quick Bites,Yes,Yes,No,5
455.0,60.6,0.3,33.4,2.2,1429.0,26.6,60.9,0.302,3,4,2,4,1,Quick Bites,Yes,Yes,No,3
460.0,34.8,1.71,34.1,1.6,1093.0,18.0,38.7,0.229,4,2,1,2,1,Cafe,No,No,No,3
615.0,35.7,1.51,20.1,1.0,1283.0,34.2,43.5,0.152,3,4,3,2,1,Quick Bites,Yes,No,No,4
474.0,45.1,2.11,26.9,3.0,2732.0,35.3,52.7,0.04,4,5,3,1,3,Fine Dining,Yes,Yes,No,5
312.0,20.6,1.29,42.1,12.4,2290.0,34.7,35.6,0.273,5,1,3,2,3,Cafe,No,Yes,No,4
890.0,32.2,7.3,23.6,12.4,1474.0,40.4,49.8,0.227,5,4,4,2,1,Fine Dining,Yes,No,No,5
526.0,10.0,0.36,42.8,0.1,3051.0,37.9,47.9,0.632,5,5,3,3,1,Cloud Kitchen,No,No,Yes,5
843.0,23.6,1.94,49.7,18.0,2298.0,11.8,39.7,0.156,3,5,4,2,2,Quick Bites,No,Yes,Yes,5
942.0,48.0,5.24,24.5,0.4,2670.0,23.4,23.0,0.65,4,5,4,2,1,Quick Bites,No,No,No,4
284.0,38.8,6.58,22.1,10.1,3140.0,24.3,32.9,0.156,2,3,3,2,3,Casual Dining,No,Yes,No,4
690.0,51.3,0.85,34.6,4.3,3772.0,29.3,62.1,0.194,2,5,2,2,1,Quick Bites,No,Yes,No,3
412.0,36.7,8.19,34.2,19.7,1898.0,3.4,56.4,0.172,4,4,4,1,1,Casual Dining,No,No,Yes,4
597.0,51.7,5.79,29.2,6.0,980.0,6.0,21.8,0.23,4,3,1,2,2,Fine Dining,Yes,No,No,4
716.0,32.4,1.35,23.5,2.4,1602.0,14.0,39.7,0.539,4,4,1,4,1,Fine Dining,No,Yes,No,4
368.0,45.7,0.3,24.1,11.3,620.0,27.9,33.2,0.326,4,3,3,3,1,Casual Dining,Yes,Yes,Yes,5
324.0,30.7,16.26,26.3,7.3,777.0,13.6,26.1,0.128,3,2,4,2,3,Casual Dining,Yes,Yes,No,4
527.0,58.7,4.41,27.8,4.2,1084.0,3.5,51.8,0.238,2,5,2,1,3,Quick Bites,Yes,Yes,Yes,3
450.0,39.0,3.21,20.6,0.8,745.0,25.9,28.6,0.365,3,5,4,2,1,Casual Dining,Yes,Yes,Yes,4
407.0,46.2,2.65,26.5,7.9,1302.0,14.3,54.4,0.268,3,4,4,1,1,Cloud Kitchen,Yes,Yes,No,3
621.0,55.6,6.35,32.7,5.1,4046.0,19.5,59.7,0.124,1,3,2,2,2,Cloud Kitchen,No,Yes,No,3
487.0,40.8,7.16,27.6,5.3,2985.0,30.6,79.5,0.093,4,5,4,1,2,Cafe,No,Yes,No,5
669.0,56.1,3.12,42.4,3.0,1881.0,33.4,58.5,0.178,3,3,3,1,1,Quick Bites,No,No,No,3
723.0,56.9,2.85,38.7,2.1,998.0,12.7,38.4,0.073,1,4,4,4,1,Quick Bites,No,Yes,Yes,2
374.0,45.0,1.63,21.2,1.4,1329.0,8.2,23.8,0.221,3,3,3,2,2,Casual Dining,Yes,No,No,5
405.0,29.7,3.52,16.6,8.5,2188.0,22.5,15.3,0.134,5,2,3,2,2,Cloud Kitchen,Yes,Yes,No,5
612.0,43.1,9.92,15.4,1.0,765.0,26.8,35.1,0.091,3,5,4,2,3,Casual Dining,Yes,Yes,Yes,5
590.0,26.8,3.12,10.0,0.3,2121.0,31.0,48.2,0.081,3,4,4,4,1,Cloud Kitchen,Yes,Yes,Yes,5
570.0,30.1,2.24,24.2,9.7,775.0,28.5,58.8,0.091,3,1,4,3,2,Quick Bites,Yes,Yes,Yes,4
1077.0,28.4,3.3,25.2,3.1,2113.0,24.4,40.2,0.463,4,2,4,3,2,Cloud Kitchen,No,No,No,5
1112.0,41.1,1.12,15.4,1.4,1331.0,22.3,48.0,0.04,5,2,5,1,2,Cloud Kitchen,Yes,No,No,5
231.0,62.1,2.26,24.2,0.1,2116.0,20.2,18.2,0.194,2,2,2,1,1,Fine Dining,No,No,Yes,2
535.0,53.7,0.3,23.0,5.9,1730.0,0.7,30.9,0.207,4,1,5,3,3,Casual Dining,Yes,No,No,4
467.0,53.7,3.07,25.2,9.5,2971.0,4.4,64.8,0.213,5,4,3,1,2,Cafe,Yes,Yes,Yes,4
321.0,37.9,9.99,25.9,8.1,684.0,1.4,40.9,0.365,4,2,1,2,2,Casual Dining,No,Yes,No,4
236.0,49.8,14.28,19.0,22.8,785.0,21.1,50.5,0.148,2,5,3,4,1,Cafe,Yes,Yes,No,3
174.0,51.3,5.43,26.7,6.3,1053.0,17.7,57.8,0.197,3,4,1,2,1,Cloud Kitchen,No,Yes,No,2
447.0,49.6,1.74,25.6,5.8,1564.0,11.6,39.0,0.354,1,5,5,1,1,Cafe,Yes,Yes,No,4
409.0,21.5,0.81,20.8,2.8,976.0,10.2,43.6,0.024,4,3,2,4,1,Casual Dining,Yes,Yes,No,5
570.0,50.0,5.82,17.7,9.0,4403.0,6.0,54.1,0.146,5,5,4,3,3,Cloud Kitchen,No,Yes,No,5
440.0,36.9,4.1,26.1,5.5,2275.0,10.5,41.5,0.413,3,1,5,4,1,Quick Bites,Yes,Yes,No,3
739.0,35.8,2.76,19.5,1.0,357.0,47.1,34.8,0.064,2,5,5,4,3,Cafe,Yes,Yes,No,5
884.0,42.3,0.64,21.3,14.2,813.0,26.1,57.8,0.398,3,4,1,4,2,Casual Dining,Yes,Yes,No,4
358.0,39.7,4.73,14.4,1.7,3193.0,13.6,59.6,0.071,3,1,1,1,1,Casual Dining,Yes,No,No,3
384.0,10.8,2.14,18.1,33.0,1492.0,14.2,36.3,0.45,5,3,4,2,2,Fine Dining,Yes,No,No,5
967.0,44.7,0.3,32.2,3.5,3144.0,14.0,21.6,0.01,4,3,5,3,1,Cloud Kitchen,Yes,Yes,Yes,5
330.0,35.8,1.71,33.9,0.5,1552.0,22.7,25.5,0.039,3,5,5,1,2,Quick Bites,Yes,Yes,Yes,5
1173.0,42.4,9.87,38.6,13.0,2170.0,14.3,58.4,0.078,3,1,3,1,2,Casual Dining,No,Yes,Yes,3
1400.0,24.3,2.28,28.7,4.0,1221.0,28.5,43.5,0.089,5,4,4,2,1,Quick Bites,No,Yes,No,5
425.0,30.1,0.84,29.1,0.7,2204.0,31.0,59.8,0.081,3,4,5,3,3,Casual Dining,Yes,Yes,No,5
531.0,40.8,0.81,35.2,11.8,1483.0,8.2,66.3,0.288,3,2,4,3,1,Quick Bites,Yes,No,Yes,4
615.0,15.5,0.3,17.8,0.6,811.0,10.8,44.1,0.18,4,4,5,2,2,Cloud Kitchen,No,Yes,No,4
271.0,49.9,3.92,30.0,5.0,517.0,12.7,4.3,0.147,3,3,5,2,1,Casual Dining,No,Yes,No,4
1396.0,12.6,6.34,18.5,17.6,1629.0,12.9,55.9,0.036,3,2,3,3,2,Quick Bites,Yes,Yes,Yes,5
175.0,33.7,0.5,29.8,4.5,994.0,37.3,52.7,0.244,3,3,4,1,3,Cafe,Yes,No,No,3
491.0,34.8,5.73,32.9,6.9,2642.0,7.5,33.0,0.096,5,3,3,2,1,Cafe,No,Yes,Yes,5
420.0,49.8,6.77,26.8,5.2,1938.0,30.6,46.3,0.124,4,4,2,2,2,Cloud Kitchen,Yes,Yes,No,4
1360.0,10.0,12.42,27.6,17.7,1895.0,33.3,65.0,0.723,3,5,3,2,3,Cloud Kitchen,No,Yes,No,4
524.0,38.6,6.48,24.1,1.8,3102.0,18.1,0.4,0.212,3,3,3,1,1,Casual Dining,Yes,Yes,No,4
245.0,41.1,3.5,31.8,29.5,1213.0,22.6,78.5,0.307,5,2,2,2,2,Casual Dining,Yes,Yes,Yes,3
652.0,10.0,1.17,36.5,19.4,2142.0,44.8,66.4,0.457,5,2,3,3,2,Casual Dining,No,Yes,No,4
585.0,25.9,13.01,35.9,5.3,4384.0,16.8,47.8,0.066,1,1,1,2,1,Fine Dining,No,Yes,No,3
956.0,76.3,3.06,36.6,5.2,1662.0,11.8,56.7,0.122,3,3,5,3,1,Cloud Kitchen,Yes,Yes,Yes,4
210.0,45.6,4.38,18.6,0.3,1471.0,9.9,73.3,0.466,4,3,4,2,2,Fine Dining,Yes,Yes,No,5
821.0,51.9,1.11,31.2,7.3,595.0,5.6,23.4,0.561,5,2,4,3,2,Cafe,Yes,Yes,No,4
858.0,51.5,1.08,11.2,6.7,1271.0,19.0,43.6,0.305,5,4,2,2,1,Quick Bites,Yes,No,No,5
361.0,63.3,4.79,39.8,1.2,3681.0,15.2,48.3,0.019,2,4,3,2,2,Cloud Kitchen,No,No,No,3
315.0,35.9,2.67,29.2,36.7,2296.0,39.8,1.4,0.313,5,4,4,3,2,Quick Bites,No,Yes,No,4
361.0,46.6,1.75,31.0,2.2,1354.0,25.8,39.8,0.067,4,4,2,2,3,Cloud Kitchen,Yes,No,No,2
853.0,31.2,0.89,20.9,7.2,3033.0,43.5,54.8,0.37,3,5,3,2,1,Cafe,No,Yes,No,5
747.0,35.5,0.85,10.0,6.4,470.0,30.6,28.3,0.152,3,2,3,1,1,Fine Dining,No,Yes,Yes,4
392.0,28.1,7.72,26.6,9.6,1019.0,9.0,57.9,0.217,3,5,4,1,3,Casual Dining,No,No,No,5
774.0,60.7,1.14,42.2,1.0,3771.0,40.5,49.0,0.13,1,3,3,1,2,Quick Bites,No,Yes,No,2
947.0,37.6,3.81,23.3,15.9,1713.0,29.9,57.8,0.126,5,5,2,2,3,Casual Dining,No,Yes,Yes,5
427.0,42.8,1.2,16.0,5.0,1838.0,3.9,45.9,0.104,4,4,3,4,2,Cloud Kitchen,No,Yes,No,5
898.0,31.5,2.6,32.4,1.8,1436.0,12.1,77.7,0.272,3,5,3,3,3,Quick Bites,Yes,Yes,Yes,4
406.0,39.3,0.91,29.2,18.7,1531.0,32.6,26.9,0.124,5,4,3,1,1,Casual Dining,Yes,Yes,No,4
415.0,49.2,0.3,36.9,9.3,1887.0,22.2,58.9,0.059,3,3,4,4,1,Cafe,Yes,No,No,3
464.0,42.4,0.71,28.4,4.9,1110.0,12.0,34.2,0.378,3,2,2,2,2,Cafe,No,Yes,No,4
574.0,27.5,8.23,23.6,0.7,3630.0,35.7,50.2,0.156,2,4,3,3,1,Cloud Kitchen,Yes,Yes,No,4
177.0,43.5,6.57,26.6,3.5,1443.0,27.0,68.7,0.276,5,4,4,4,1,Casual Dining,Yes,Yes,Yes,5
291.0,35.3,1.41,27.1,7.1,3421.0,26.5,37.7,0.351,3,3,3,1,2,Cloud Kitchen,No,Yes,Yes,3
153.0,24.9,2.99,18.9,12.4,2007.0,23.1,17.0,0.59,4,3,4,1,1,Cafe,Yes,Yes,No,4
